log_group,@timestamp,@requestId,@duration,@billedDuration,@memorySize,@maxMemoryUsed,@initDuration,@logStream
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:34:56.680,cb1a25d2-bc6e-4b8b-8a6f-e3e2e4c629e1,112.56,113,128000000,94000000,,2026/05/10/[$LATEST]851ab0d7c7224ed19e19f38b221b7f56
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:34:57.040,7351d63a-3a9e-4ae2-86c4-fd9548e0c6c7,114.28,115,128000000,94000000,,2026/05/10/[$LATEST]851ab0d7c7224ed19e19f38b221b7f56
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:34:57.400,e02cb886-ecc9-412b-aa0f-179f9cc6d044,120.54,121,128000000,94000000,,2026/05/10/[$LATEST]851ab0d7c7224ed19e19f38b221b7f56
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:34:57.763,0aed70f2-df49-4a1a-8d16-16c195b78470,107.48,108,128000000,94000000,,2026/05/10/[$LATEST]851ab0d7c7224ed19e19f38b221b7f56
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:34:58.120,34afcd46-e14b-4db9-b05d-f42b127a493c,109.7,110,128000000,94000000,,2026/05/10/[$LATEST]851ab0d7c7224ed19e19f38b221b7f56
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:34:58.480,5f744138-958f-443e-9b32-d154d1999503,109.36,110,128000000,94000000,,2026/05/10/[$LATEST]851ab0d7c7224ed19e19f38b221b7f56
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:16.055,a1d04771-e75c-4f17-8955-bd577b2ddd96,432.07,979,128000000,92000000,546.1,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:16.215,c1c535a0-f104-42c3-95f6-53c19f550f00,126,126,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:16.395,c934ee58-9c9e-4c52-9198-a36bd0ce5a5a,122.93,123,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:16.555,48f65e93-c3d2-4c6d-852c-14b30643ee1d,138.87,139,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:16.735,7131c582-86ca-4563-8fc2-a523a5e0753b,124.8,125,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:16.875,c96edd4e-3340-4f73-b4e5-889e1578a24e,123.74,124,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:17.035,02f9dc5a-3a9d-4936-b89b-3d08b52c65f8,122.69,123,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:17.176,490b02cd-4049-4522-a407-70958e33794b,111.09,112,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:17.355,9ca53fd4-940d-4f65-8de6-f89e9a633e10,135.66,136,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
